Sun 30 Jul 2017 22:30:01 INFO execute.py 80 10692 2017-07-30T22:30:01.196929: step 1, loss 6.37107, acc 0.0, score 0.0289286971092, wrong 32.0, 5.7686000 secs/batch
Sun 30 Jul 2017 22:30:04 INFO execute.py 80 10692 2017-07-30T22:30:04.042205: step 2, loss 6.31424, acc 0.0, score 0.0857617855072, wrong 32.0, 2.5464530 secs/batch
Sun 30 Jul 2017 22:30:06 INFO execute.py 80 10692 2017-07-30T22:30:06.821751: step 3, loss 6.43782, acc 0.0, score -0.0378184914589, wrong 32.0, 2.7444787 secs/batch
Sun 30 Jul 2017 22:30:09 INFO execute.py 80 10692 2017-07-30T22:30:09.596926: step 4, loss 6.08066, acc 0.0, score 0.319337248802, wrong 32.0, 2.7551610 secs/batch
Sun 30 Jul 2017 22:30:12 INFO execute.py 80 10692 2017-07-30T22:30:12.403489: step 5, loss 6.16269, acc 0.0, score 0.237315058708, wrong 32.0, 2.7945554 secs/batch
Sun 30 Jul 2017 22:30:15 INFO execute.py 80 10692 2017-07-30T22:30:15.115987: step 6, loss 6.16155, acc 0.03125, score 0.239271998405, wrong 32.0, 2.7034876 secs/batch
Sun 30 Jul 2017 22:30:17 INFO execute.py 80 10692 2017-07-30T22:30:17.921071: step 7, loss 6.49402, acc 0.03125, score 0.144599940628, wrong 32.0, 2.7965765 secs/batch
Sun 30 Jul 2017 22:30:20 INFO execute.py 80 10692 2017-07-30T22:30:20.705048: step 8, loss 6.39037, acc 0.0, score 0.00963467359543, wrong 32.0, 2.7674630 secs/batch
Sun 30 Jul 2017 22:30:23 INFO execute.py 80 10692 2017-07-30T22:30:23.349055: step 9, loss 6.13903, acc 0.0, score 0.260967642069, wrong 32.0, 2.6370029 secs/batch
Sun 30 Jul 2017 22:30:25 INFO execute.py 80 10692 2017-07-30T22:30:25.987533: step 10, loss 6.43118, acc 0.0625, score 0.119853824377, wrong 30.0, 2.6384773 secs/batch
Sun 30 Jul 2017 22:30:28 INFO execute.py 80 10692 2017-07-30T22:30:28.628357: step 11, loss 6.63139, acc 0.0, score -0.231390848756, wrong 32.0, 2.6252034 secs/batch
Sun 30 Jul 2017 22:30:31 INFO execute.py 80 10692 2017-07-30T22:30:31.236692: step 12, loss 6.44756, acc 0.0, score -0.0475598573685, wrong 32.0, 2.5953264 secs/batch
Sun 30 Jul 2017 22:30:34 INFO execute.py 80 10692 2017-07-30T22:30:34.011189: step 13, loss 6.1677, acc 0.0, score 0.232304126024, wrong 32.0, 2.7534819 secs/batch
Sun 30 Jul 2017 22:30:36 INFO execute.py 80 10692 2017-07-30T22:30:36.787701: step 14, loss 6.30183, acc 0.0, score 0.0981752276421, wrong 32.0, 2.7685080 secs/batch
Sun 30 Jul 2017 22:30:39 INFO execute.py 80 10692 2017-07-30T22:30:39.589874: step 15, loss 6.93204, acc 0.0, score -0.532035470009, wrong 32.0, 2.7855334 secs/batch
Sun 30 Jul 2017 22:30:42 INFO execute.py 80 10692 2017-07-30T22:30:42.403423: step 16, loss 6.28338, acc 0.0, score 0.116615951061, wrong 32.0, 2.8060462 secs/batch
Sun 30 Jul 2017 22:30:45 INFO execute.py 80 10692 2017-07-30T22:30:45.110179: step 17, loss 6.15004, acc 0.0, score 0.249962747097, wrong 32.0, 2.6932473 secs/batch
Sun 30 Jul 2017 22:30:47 INFO execute.py 80 10692 2017-07-30T22:30:47.826171: step 18, loss 6.65927, acc 0.0, score -0.259269446135, wrong 32.0, 2.7034848 secs/batch
Sun 30 Jul 2017 22:30:50 INFO execute.py 80 10692 2017-07-30T22:30:50.696956: step 19, loss 5.81995, acc 0.0, score 0.580046087503, wrong 32.0, 2.8577752 secs/batch
Sun 30 Jul 2017 22:30:53 INFO execute.py 80 10692 2017-07-30T22:30:53.500532: step 20, loss 6.20275, acc 0.03125, score 0.221058622003, wrong 32.0, 2.7950702 secs/batch
Sun 30 Jul 2017 22:30:56 INFO execute.py 80 10692 2017-07-30T22:30:56.267214: step 21, loss 6.47436, acc 0.0, score -0.0743590295315, wrong 32.0, 2.7506711 secs/batch
Sun 30 Jul 2017 22:30:59 INFO execute.py 80 10692 2017-07-30T22:30:59.110860: step 22, loss 5.97638, acc 0.0, score 0.423624306917, wrong 32.0, 2.8280168 secs/batch
Sun 30 Jul 2017 22:31:01 INFO execute.py 80 10692 2017-07-30T22:31:01.926342: step 23, loss 6.22677, acc 0.0, score 0.173227697611, wrong 32.0, 2.8008490 secs/batch
Sun 30 Jul 2017 22:31:04 INFO execute.py 80 10692 2017-07-30T22:31:04.724361: step 24, loss 5.73261, acc 0.03125, score 0.904078453779, wrong 31.0, 2.7778251 secs/batch
Sun 30 Jul 2017 22:31:07 INFO execute.py 80 10692 2017-07-30T22:31:07.687281: step 25, loss 6.38839, acc 0.03125, score 0.0417373776436, wrong 32.0, 2.9434001 secs/batch
Sun 30 Jul 2017 22:31:10 INFO execute.py 80 10692 2017-07-30T22:31:10.524392: step 26, loss 5.9032, acc 0.0, score 0.496799558401, wrong 32.0, 2.8231013 secs/batch
Sun 30 Jul 2017 22:31:13 INFO execute.py 80 10692 2017-07-30T22:31:13.493180: step 27, loss 6.24971, acc 0.03125, score 0.289889976382, wrong 31.0, 2.9442587 secs/batch
Sun 30 Jul 2017 22:31:16 INFO execute.py 80 10692 2017-07-30T22:31:16.418636: step 28, loss 5.60557, acc 0.03125, score 0.865977972746, wrong 31.0, 2.9099414 secs/batch
Sun 30 Jul 2017 22:31:19 INFO execute.py 80 10692 2017-07-30T22:31:19.216729: step 29, loss 6.08775, acc 0.0, score 0.312250763178, wrong 32.0, 2.7740188 secs/batch
Sun 30 Jul 2017 22:31:22 INFO execute.py 80 10692 2017-07-30T22:31:22.151182: step 30, loss 5.3454, acc 0.0, score 1.05460181832, wrong 32.0, 2.9179437 secs/batch
Sun 30 Jul 2017 22:31:25 INFO execute.py 80 10692 2017-07-30T22:31:25.108371: step 31, loss 5.08226, acc 0.125, score 1.8998131901, wrong 30.0, 2.9381762 secs/batch
Sun 30 Jul 2017 22:31:28 INFO execute.py 80 10692 2017-07-30T22:31:28.066020: step 32, loss 5.24081, acc 0.0625, score 1.27964001894, wrong 32.0, 2.9437103 secs/batch
Sun 30 Jul 2017 22:31:31 INFO execute.py 80 10692 2017-07-30T22:31:31.018172: step 33, loss 5.96822, acc 0.0, score 0.431780293584, wrong 32.0, 2.9361291 secs/batch
Sun 30 Jul 2017 22:31:34 INFO execute.py 80 10692 2017-07-30T22:31:34.199031: step 34, loss 4.93977, acc 0.125, score 2.368955791, wrong 30.0, 3.1673460 secs/batch
Sun 30 Jul 2017 22:31:37 INFO execute.py 80 10692 2017-07-30T22:31:37.154468: step 35, loss 4.9587, acc 0.125, score 2.63575699925, wrong 30.0, 2.9449100 secs/batch
Sun 30 Jul 2017 22:31:40 INFO execute.py 80 10692 2017-07-30T22:31:40.140693: step 36, loss 3.70456, acc 0.28125, score 4.50364136696, wrong 30.0, 2.9611881 secs/batch
Sun 30 Jul 2017 22:31:43 INFO execute.py 80 10692 2017-07-30T22:31:43.035365: step 37, loss 4.19679, acc 0.3125, score 4.88593125343, wrong 30.0, 2.8811617 secs/batch
Sun 30 Jul 2017 22:31:45 INFO execute.py 80 10692 2017-07-30T22:31:45.938623: step 38, loss 3.90868, acc 0.25, score 4.68817998469, wrong 29.0, 2.8832433 secs/batch
Sun 30 Jul 2017 22:31:48 INFO execute.py 80 10692 2017-07-30T22:31:48.876916: step 39, loss 2.98159, acc 0.375, score 6.44991618395, wrong 29.0, 2.9281566 secs/batch
Sun 30 Jul 2017 22:31:51 INFO execute.py 80 10692 2017-07-30T22:31:51.798239: step 40, loss 4.55324, acc 0.21875, score 3.11550195143, wrong 28.0, 2.9063132 secs/batch
Sun 30 Jul 2017 22:31:54 INFO execute.py 80 10692 2017-07-30T22:31:54.727376: step 41, loss 3.1344, acc 0.4375, score 6.45183768868, wrong 26.0, 2.9071238 secs/batch
